cs_year,date_occur,address_norm,gw_addrrecnum,gw_x,gw_y,gw_source
2008,11/14/2008 02:25,3319 Potomac St,10196396,-90.23897337320793,38.59334698706082,local
2008,11/16/2008 13:47,3535 Sidney St,NA,NA,NA,NA
2008,11/18/2008 23:35,1508 Whittier St,10060998,-90.23832086328771,38.65385638849074,local
2008,11/25/2008 17:25,2318 N Euclid Ave,10098294,-90.2556062015817,38.66551290619578,local
2008,11/25/2008 21:05,3918 Page Blvd,10029360,-90.23464647347365,38.64878886058155,local
2008,12/01/2008 18:05,901 Cole St,NA,NA,NA,NA
2008,12/01/2008 22:00,3425 Geraldine Ave,NA,NA,NA,NA
2008,12/05/2008 20:43,1800 Annie Malone Dr,10324898,-90.23888876550737,38.65601392286921,local
2008,12/12/2008 21:47,5389 Cote Brilliante Ave,10057722,-90.26846219974823,38.66983408885781,local
2008,12/13/2008 17:49,5302 Dr Martin Luther King,10006435,-90.26820091376243,38.66572546440458,"local, short"
2008,12/16/2008 21:24,5424 Geraldine Ave,10221939,-90.2401578504655,38.6928865005462,local
2008,12/16/2008 21:24,5424 Geraldine Ave,10221939,-90.2401578504655,38.6928865005462,local
2008,12/19/2008 22:00,3417 Semple Ave,10137407,-90.26369100063555,38.6798211144586,local
2008,12/27/2008 15:35,5746 Goodfellow Pl,10331388,-90.27177866623697,38.68191828466255,local
2008,12/28/2008 13:50,4334 Lee Ave,10105269,-90.23113373486008,38.67346637443529,local
2009,01/08/2009 20:00,2942 Locust St,10106559,-90.22133043113953,38.635380719716736,local
2009,01/09/2009 12:00,3604 Salena St,10194893,-90.22039244995997,38.588504887413194,local
2009,01/11/2009 18:30,3443 Union Blvd,10046080,-90.26059562312966,38.67976684257181,local
2009,01/11/2009 18:30,3443 Union Blvd,10046080,-90.26059562312966,38.67976684257181,local
2009,01/12/2009 17:50,3935 Minnesota Ave,10126238,-90.23686023247421,38.584393984509916,local
2009,01/28/2009 09:30,4504 Oleatha Ave,10193478,-90.26738551935152,38.59505169285606,local
2009,02/07/2009 17:39,4973 Emerson Ave,10257472,-90.2505396295843,38.69217215072184,local
2009,02/09/2009 09:57,3655 California Ave,10121774,-90.23123134372912,38.588676886743315,local
2009,02/13/2009 15:26,4730 Saint Louis Ave,NA,NA,NA,NA
2009,02/23/2009 20:00,5146 Terry Ave,NA,NA,NA,NA
